"Категория интересов, ур. 1","Категория интересов, ур. 2","Категория интересов, ур. 3","Визиты","Посетители","Аффинити‑индекс","Отказы","Глубина просмотра","Время на сайте"
"Строительство, обустройство и ремонт","Товары для дома","Посуда","17","12","182.83519077164502","1.0","1.0","00:00:00"
"Электроника","Аудио- и видеотехника","Телевизоры и плазменные панели","17","12","251.08754056801132","1.0","1.0","00:00:00"
"Развлечения и досуг","Игры","Киберспорт","17","17","191.40307086026297","0.9411764705882352","1.0588235294117647","00:00:01"
"Одежда, обувь и аксессуары","Одежда","Спортивная одежда","16","14","172.44023503985437","1.0","1.0","00:00:00"
"Развлечения и досуг","Игры","Консольные игры","16","13","310.1891447206982","1.0","1.0","00:00:00"
"Образование","Вуз","Не определено","15","14","110.72466520775488","0.9333333333333332","1.0666666666666667","00:00:00"
"Финансы","Интернет-банкинг","Не определено","15","14","51.66565489495168","0.9333333333333332","1.0666666666666667","00:00:00"
"Транспорт","Авто","Спортивные автомобили","15","11","181.90177613842826","1.0","1.0","00:00:00"
"Отдых и путешествия","Страхование путешественников","Не определено","14","13","175.81729652657938","1.0","1.0","00:00:00"
"Транспорт","Авто","Техобслуживание автомобилей","14","13","127.94107281082294","0.9285714285714286","1.0714285714285714","00:00:00"
"Финансы","Банковские вклады","Не определено","13","13","108.04304349031895","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Сериалы","13","13","78.8153674157889","1.0","1.0","00:00:00"
"Бытовая техника","Крупная техника для кухни","Кухонные вытяжки","12","8","228.55119813636014","1.0","1.0","00:00:00"
"Бытовая техника","Крупная техника для кухни","Кухонные плиты","12","8","187.80346090174547","1.0","1.0","00:00:00"
"Бизнес","Реклама","Не определено","12","11","81.37289148763445","0.9166666666666665","1.0833333333333333","00:00:00"
"Одежда, обувь и аксессуары","Одежда","Не определено","12","11","58.07462290609689","1.0","1.0","00:00:00"
"Финансы","Ипотека","Не определено","12","11","94.3776785519538","0.9166666666666665","1.0833333333333333","00:01:33"
"Недвижимость","Жилая недвижимость премиум-класса","Не определено","12","11","185.95847077608445","1.0","1.0","00:00:00"
"Отдых и путешествия","Отели","Не определено","12","12","68.8036656128867","1.0","1.0","00:00:00"
"Транспорт","Авто","Внедорожники","12","8","139.0262716193278","1.0","1.0","00:00:00"
"Спорт","Сноубординг","Не определено","11","10","90.35888385366884","1.0","1.0","00:00:00"
"Бизнес","Бухгалтерские услуги","Не определено","10","7","55.762717635228505","0.9","1.5","00:00:09"
"Электроника","Аудио- и видеотехника","Не определено","10","7","120.19863855297855","1.0","1.0","00:00:00"
"Развлечения и досуг","Театры","Не определено","10","8","74.64628137033809","1.0","1.0","00:00:00"
"Спорт","Футбол","Не определено","10","10","191.2562771197379","0.9","1.1","00:00:00"
"Спорт","Роликовые коньки","Не определено","10","9","90.60319128357037","1.0","1.0","00:00:00"
"Транспорт","Авто","Автомобили бизнес-класса","10","8","120.53521501681074","1.0","1.0","00:00:00"
"Транспорт","Авто","Семейные автомобили","10","9","187.99196349690354","1.0","1.0","00:00:00"
"Подарки и цветы","Подарки","Не определено","9","9","60.11209174694588","0.8888888888888888","1.1111111111111112","00:00:00"
"Бытовая техника","Техника для красоты и здоровья","Женские электробритвы и эпиляторы","9","9","103.35288567775942","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Не определено","Не определено","9","8","37.12378368593098","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Мебель для ванной","9","8","95.1041710779392","1.0","1.0","00:00:00"
"Электроника","Фото- и видеокамеры","Не определено","9","9","110.3963314409616","1.0","1.0","00:00:00"
"Финансы","Инвестиции","Не определено","9","8","91.86560527096248","1.0","1.0","00:00:00"
"Еда и напитки","Кулинария","Не определено","9","9","47.18020192162224","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Детские фильмы","9","8","55.199218774288525","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Билеты в кино","9","8","100.22286449384448","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Комедии","9","8","78.35115575164686","1.0","1.0","00:00:00"
"Отдых и путешествия","Походы и спортивный туризм","Не определено","9","8","277.414854701558","0.8888888888888888","1.1111111111111112","00:00:00"
"Телеком","Не определено","Не определено","9","8","58.78516747291698","1.0","1.0","00:00:00"
"Транспорт","Авто","Автомобили представительского класса","9","7","120.36299647569109","1.0","1.0","00:00:00"
"Транспорт","Авто","Подержанные автомобили","9","8","107.37818488732188","0.8888888888888888","1.1111111111111112","00:00:00"
